station,lat,long,As,Cd,Cr,Pb,hg,ni,cu,Zn,fe,Mn,co,al,se,sb,ba,v,HPI
Sabalwad,23.87416667,72.96305556,0.017,0.004,0.041,0.019,0.002,0.011,1.875,3.229,0.333,0.181,0.043,0.359,0.013,0.006,0.758,0.022,0.01
Dholavira,23.88333333,70.21666667,0.01,0.004,0.063,0.017,0.002,0.018,0.608,4.851,0.368,0.198,0.033,0.201,0.009,0.003,0.839,0.046,0.01
Nedra,23.8875,72.31666667,0.02,0.005,0.067,0.014,0.002,0.022,0.61,4.203,0.108,0.124,0.034,0.153,0.019,0.003,0.903,0.035,0.01
Kheralu1,23.8875,72.6125,0.015,0.001,0.021,0.006,0.002,0.026,1.754,3.718,0.442,0.056,0.049,0.259,0.013,0.004,0.822,0.065,0.01
Rampura1,23.89166667,72.51666667,0.011,0.005,0.06,0.009,0.001,0.021,1.607,1.208,0.279,0.117,0.018,0.201,0.018,0.006,0.983,0.01,0.01
Choriwad,23.9,73.11944444,0.006,0.004,0.06,0.006,0.001,0.026,1.668,2.74,0.293,0.156,0.058,0.108,0.019,0.001,0.597,0.06,0.01
Kesharpura,23.91527778,73.14527778,0.013,0.002,0.012,0.019,0.002,0.026,1.007,4.524,0.453,0.19,0.018,0.259,0.005,0.002,0.63,0.034,0.01
Sidhpur,23.91666667,72.3625,0.01,0.003,0.077,0.02,0.001,0.023,1.547,4.993,0.115,0.081,0.044,0.276,0.017,0.006,0.879,0.05,0.01
Chandap_DW,23.92333333,72.85333333,0.017,0.001,0.013,0.013,0.001,0.026,1.933,4.259,0.369,0.055,0.026,0.154,0.009,0.003,0.542,0.025,0.01
Wadali,23.93333333,73.03333333,0.011,0.004,0.03,0.015,0.001,0.018,0.788,4.581,0.431,0.16,0.016,0.304,0.005,0.002,0.557,0.06,0.01
Jhajahm,23.94583333,71.33888889,0.01,0.002,0.01,0.014,0.001,0.026,1.88,4.666,0.478,0.072,0.042,0.312,0.016,0.006,0.872,0.026,0.01
Jhaloti,23.95,73.3375,0.007,0.001,0.012,0.014,0.001,0.027,1.772,4.184,0.44,0.13,0.036,0.147,0.019,0.005,0.795,0.057,0.01
Abhapur,23.96416667,73.25805556,0.009,0.003,0.063,0.011,0.001,0.024,1.865,4.751,0.418,0.057,0.058,0.17,0.02,0.002,0.546,0.051,0.01
Kherwada,23.96944444,73.23361111,0.01,0.002,0.036,0.005,0.002,0.02,0.672,2.246,0.425,0.157,0.069,0.369,0.014,0.006,0.632,0.056,0.01
Atarsumba,23.98611111,73.20833333,0.013,0.003,0.059,0.006,0.001,0.024,1.125,4.906,0.225,0.124,0.036,0.385,0.007,0.005,0.561,0.023,0.01
Timba_1,23.98722222,72.75888889,0.008,0.005,0.043,0.009,0.001,0.016,1.207,3.313,0.456,0.118,0.051,0.175,0.017,0.003,0.9,0.048,0.01
Silwad,24.00833333,73.11666667,0.014,0.001,0.016,0.007,0.002,0.022,1.416,1.4,0.338,0.142,0.057,0.381,0.007,0.004,0.975,0.042,0.01
Vijaynagar,24.00833333,73.35416667,0.017,0.003,0.042,0.009,0.001,0.022,1.533,3.548,0.499,0.125,0.055,0.289,0.009,0.006,0.946,0.062,0.01
Khedbramha,24.02916667,73.05,0.014,0.001,0.074,0.02,0.002,0.022,1.928,1.504,0.248,0.193,0.04,0.241,0.018,0.002,0.957,0.018,0.01
Matoda,24.11111111,73.00833333,0.012,0.002,0.014,0.015,0.001,0.029,1.896,1.126,0.3,0.168,0.042,0.365,0.012,0.002,0.512,0.027,0.01
Mohabbat gadh,24.16666667,72.72777778,0.008,0.004,0.014,0.011,0.002,0.016,0.811,3.491,0.495,0.077,0.027,0.103,0.016,0.003,0.854,0.013,0.01
Ratanpur2,24.175,72.74583333,0.012,0.002,0.014,0.006,0.001,0.014,0.994,2.278,0.346,0.121,0.051,0.172,0.009,0.003,0.816,0.063,0.01
Dantiwada,24.18888889,72.76055556,0.02,0.003,0.075,0.017,0.002,0.021,1.153,4.379,0.441,0.199,0.069,0.287,0.019,0.003,0.566,0.033,0.01
Palanpur2,24.19444444,72.43333333,0.009,0.003,0.06,0.013,0.002,0.024,1.058,1.866,0.267,0.055,0.069,0.111,0.017,0.001,0.7,0.029,0.01
Ratanpur,24.20833333,72.99861111,0.02,0.005,0.012,0.018,0.001,0.028,0.536,1.253,0.35,0.151,0.03,0.264,0.015,0.003,0.53,0.044,0.01
Dantiwada,24.2775,72.26138889,0.011,0.002,0.067,0.02,0.001,0.023,1.334,2.398,0.142,0.129,0.012,0.347,0.016,0.006,0.887,0.054,0.01
Ganapipli,24.29722222,72.94722222,0.011,0.004,0.053,0.01,0.002,0.02,1.517,1.573,0.402,0.084,0.016,0.25,0.006,0.002,0.75,0.027,0.01
Iqbalgarh,24.34583333,72.5375,0.014,0.004,0.069,0.006,0.002,0.017,1.339,3.709,0.147,0.136,0.021,0.35,0.016,0.005,0.668,0.032,0.01
Poshina2,24.375,73.03333333,0.016,0.005,0.074,0.009,0.001,0.023,1.331,1.137,0.138,0.134,0.05,0.111,0.013,0.007,0.925,0.046,0.01
Jorapura,24.37972222,72.28972222,0.018,0.005,0.061,0.019,0.002,0.014,0.647,2.807,0.302,0.18,0.021,0.244,0.016,0.002,0.746,0.063,0.01
Kidotar,24.39444444,72.62777778,0.02,0.004,0.017,0.011,0.002,0.023,1.861,3.183,0.411,0.12,0.07,0.27,0.014,0.005,0.518,0.014,0.01
Meda,24.39722222,72.28472222,0.016,0.002,0.046,0.006,0.002,0.026,1.518,1.097,0.294,0.098,0.042,0.397,0.01,0.002,0.906,0.046,0.01
Sodapur,24.40138889,72.29583333,0.012,0.001,0.055,0.007,0.002,0.016,1.357,1.02,0.267,0.161,0.064,0.321,0.006,0.005,0.934,0.05,0.01
Amirgadh,24.40555556,72.64166667,0.012,0.002,0.022,0.018,0.001,0.025,1.899,4.614,0.267,0.106,0.058,0.199,0.012,0.006,0.979,0.058,0.01
Vadgamda,24.40833333,71.69166667,0.006,0.004,0.015,0.008,0.002,0.013,1.969,1.657,0.149,0.122,0.034,0.39,0.006,0.002,0.987,0.01,0.01
Asodar,24.41666667,71.81666667,0.014,0.005,0.015,0.009,0.001,0.024,1.525,1.541,0.407,0.055,0.064,0.397,0.017,0.003,0.844,0.028,0.01
Gangodra,24.43611111,72.36527778,0.017,0.003,0.074,0.014,0.002,0.029,1.584,1.371,0.101,0.109,0.042,0.242,0.011,0.001,0.586,0.065,0.01
Kuchwada,24.46666667,72.25277778,0.009,0.004,0.069,0.014,0.001,0.013,1.728,2.965,0.399,0.083,0.056,0.259,0.019,0.006,0.698,0.049,0.01
Jhat,24.4875,72.35277778,0.019,0.003,0.071,0.016,0.001,0.029,0.994,4.6,0.174,0.186,0.041,0.329,0.018,0.004,0.505,0.052,0.01
Sankad,24.49722222,71.975,0.018,0.004,0.069,0.006,0.001,0.029,1.362,3.654,0.372,0.197,0.063,0.206,0.019,0.004,0.902,0.046,0.01
Manglore,24.51388889,71.69722222,0.018,0.005,0.039,0.012,0.001,0.027,1.077,2.915,0.427,0.083,0.043,0.161,0.006,0.007,0.985,0.011,0.01
Bharol1,24.52916667,71.54166667,0.017,0.001,0.032,0.01,0.002,0.025,0.94,4.735,0.319,0.073,0.057,0.101,0.017,0.004,0.935,0.047,0.01
Bharol,24.53055556,71.54166667,0.009,0.005,0.044,0.009,0.001,0.019,0.927,2.245,0.39,0.119,0.044,0.385,0.014,0.006,0.838,0.062,0.01
Khoda,24.65833333,71.76666667,0.01,0.004,0.063,0.016,0.001,0.016,1.754,3.394,0.435,0.199,0.068,0.306,0.019,0.005,0.602,0.03,0.01
SABARMATI AT DHAROI DAM,24.004528,72.853278,0.01,0.003,0.018,0.013,0.001,0.011,1.056,2.338,0.163,0.173,0.057,0.286,0.018,0.007,0.635,0.024,0.01
RIVER SABARMATI AT AHMEDABAD U/S,23.158286,72.673413,0.014,0.002,0.068,0.007,0.002,0.03,1.323,4.205,0.196,0.131,0.022,0.217,0.009,0.002,0.841,0.034,0.01
RIVER SABARMATI AT AHMEDABAD D/S,22.915326,72.515828,0.007,0.002,0.067,0.013,0.001,0.02,1.596,3.756,0.274,0.135,0.012,0.291,0.017,0.003,0.553,0.042,0.01
AMBIKA AT BILIMORA,20.772106,72.951625,0.013,0.002,0.041,0.016,0.001,0.027,0.744,1.373,0.319,0.191,0.056,0.159,0.019,0.007,0.963,0.018,0.01
KOLAK AT PATALIA BDG.,20.461511,72.886556,0.011,0.003,0.02,0.017,0.001,0.019,0.954,2.734,0.254,0.126,0.019,0.283,0.013,0.004,0.583,0.04,0.01
DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,20.358825,72.881708,0.015,0.003,0.052,0.006,0.001,0.011,1.986,2.856,0.471,0.08,0.039,0.121,0.018,0.007,0.769,0.026,0.01
SABARMATI AT KHEROJ BRIDGE,24.22986,73.005317,0.011,0.001,0.027,0.008,0.002,0.018,1.206,2.845,0.225,0.074,0.042,0.366,0.016,0.006,0.919,0.038,0.01
SHEDHI AT KHEDA,22.739321,72.679059,0.009,0.003,0.079,0.015,0.002,0.023,0.745,4.128,0.194,0.153,0.042,0.158,0.01,0.006,0.604,0.037,0.01
SABARMATI AFTER CONF. WITH MESHWA AT VAUTHA (NEAR DHOKLA),22.721547,72.530103,0.018,0.005,0.036,0.012,0.001,0.025,0.651,2.961,0.31,0.159,0.043,0.311,0.012,0.005,0.94,0.055,0.01
MESHWA NEAR RAJASTHAN BORDER AT SAMLAJI,23.681975,73.391956,0.009,0.004,0.059,0.013,0.001,0.016,1.595,3.873,0.392,0.054,0.043,0.216,0.013,0.006,0.97,0.013,0.01
WELL AT NAROL AHMEDABAD,22.972906,72.588261,0.007,0.001,0.029,0.013,0.002,0.018,0.991,1.074,0.345,0.153,0.054,0.138,0.01,0.007,0.919,0.055,0.01
ANAS AT DAHOD (KUSHALGARH) DIST. PANCHMAHAL,22.846264,74.291789,0.012,0.004,0.072,0.008,0.001,0.011,0.749,2.598,0.456,0.069,0.05,0.379,0.007,0.003,0.897,0.024,0.01
NARMADA AT BHARUCH ZADESHVAR,21.665906,72.916681,0.01,0.003,0.016,0.016,0.001,0.028,1.289,3.344,0.403,0.096,0.026,0.153,0.007,0.005,0.563,0.027,0.01
NARMADA AT PANETHA,21.950608,73.584697,0.009,0.002,0.023,0.008,0.001,0.025,0.964,4.119,0.11,0.051,0.017,0.356,0.02,0.006,0.762,0.031,0.01
NARMADA AT CHANDOD,21.983722,73.456331,0.019,0.002,0.029,0.017,0.001,0.019,1.066,4.898,0.117,0.162,0.017,0.106,0.017,0.007,0.561,0.032,0.01
TAPI AT MANDAVI,21.247908,73.301033,0.008,0.004,0.015,0.011,0.002,0.016,1.968,4.717,0.233,0.196,0.025,0.277,0.01,0.004,0.856,0.065,0.01
TAPI AT SURAT U/S KATHORE,21.2855,72.935483,0.008,0.005,0.064,0.019,0.001,0.027,1.338,4.224,0.49,0.092,0.013,0.249,0.019,0.007,0.677,0.019,0.01
KANKORIA LAKE AT AHMEDABAD NR. BALVATIKA,23.006731,72.601622,0.014,0.002,0.072,0.005,0.001,0.011,0.999,3.084,0.35,0.051,0.023,0.209,0.009,0.003,0.975,0.061,0.01
CHANDOLA LAKE AT AHMEDABAD,22.987972,72.589067,0.018,0.004,0.035,0.015,0.001,0.016,1.307,3.106,0.352,0.052,0.061,0.118,0.013,0.006,0.77,0.05,0.01
AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,22.401206,73.388603,0.019,0.003,0.036,0.015,0.002,0.025,0.706,2.764,0.353,0.156,0.011,0.268,0.005,0.003,0.561,0.058,0.01
SURSAGAR LAKE AT BARODA,22.300392,73.205078,0.018,0.002,0.023,0.012,0.001,0.022,1.025,3.446,0.378,0.106,0.068,0.209,0.014,0.006,0.81,0.028,0.01
DAMANGANGA AT D/S OF MADHUBAN DAMAN,20.411819,72.833264,0.009,0.003,0.061,0.012,0.001,0.022,1.848,1.4,0.256,0.101,0.055,0.178,0.005,0.005,0.735,0.061,0.01
SABARMATI AT GANDHI NAGAR CHILODA BRIDGE LEKAWADA,23.245906,72.68218,0.015,0.005,0.069,0.02,0.001,0.023,1.304,4.084,0.408,0.173,0.016,0.376,0.013,0.004,0.729,0.048,0.01
SABARMATI AT VILL. MIROLI TALUKA DASCROI AHMEDABAD,23.031314,72.575114,0.01,0.003,0.06,0.006,0.002,0.029,1.136,2.845,0.295,0.103,0.022,0.357,0.009,0.003,0.861,0.063,0.01
SABARMATI AT RAILWAY BRIDGE AHMEDABAD,23.06353,72.589064,0.016,0.004,0.073,0.008,0.002,0.011,1.707,1.474,0.186,0.061,0.046,0.27,0.011,0.006,0.823,0.017,0.01
AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,21.701178,73.021733,0.02,0.004,0.045,0.009,0.001,0.024,1.898,4.368,0.462,0.135,0.019,0.239,0.011,0.005,0.944,0.019,0.01
KOLAK AT RAILWAY BRIDGE NO. 313 VAPI VALSAD,20.342461,72.905403,0.018,0.003,0.053,0.012,0.002,0.014,0.983,4.731,0.457,0.06,0.025,0.321,0.013,0.007,0.804,0.022,0.01
BHADAR D/S JETPUR VILL. AFTER CONF. OF W.WATER FROM JETPUR CITY,21.763115,70.424313,0.01,0.004,0.05,0.008,0.001,0.019,1.074,1.48,0.334,0.134,0.043,0.216,0.016,0.002,0.978,0.053,0.01
KHARI AT LALI VILLAGE NEAR AHMEDABAD,22.868749,72.627351,0.011,0.002,0.046,0.016,0.001,0.015,0.706,4.459,0.274,0.059,0.065,0.369,0.01,0.001,0.991,0.053,0.01
MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN,21.111549,73.111601,0.018,0.001,0.045,0.018,0.001,0.024,1.023,1.598,0.239,0.132,0.014,0.278,0.008,0.006,0.864,0.058,0.01
SABARMATI AT MAHUDI JAIN TEMPLE 150 KM. FORM ORIGIN,23.496903,72.796265,0.016,0.003,0.052,0.006,0.001,0.027,0.536,4.342,0.475,0.193,0.036,0.258,0.005,0.006,0.751,0.031,0.01
BALEHWAR KHADI AT N.H. NO. 8,21.223442,72.89572,0.015,0.004,0.061,0.006,0.001,0.022,0.555,2.841,0.182,0.124,0.045,0.203,0.018,0.002,0.864,0.013,0.01
PURNA RIVER ON BRIDGE AT SURAT-NAVSARI HIGHWAY,20.980464,73.016757,0.019,0.004,0.023,0.011,0.001,0.022,0.756,3.114,0.276,0.109,0.012,0.362,0.005,0.005,0.795,0.017,0.01
KAVERI RIVER ON BRIDGE AT BILLIMORA-VALSAD ROAD,20.756033,73.066786,0.009,0.004,0.052,0.01,0.001,0.016,1.286,3.023,0.126,0.154,0.053,0.138,0.005,0.004,0.922,0.044,0.01
MAHI AT UMETA BRIDGE,22.342298,73.052575,0.005,0.004,0.063,0.005,0.002,0.02,0.755,2.888,0.376,0.053,0.037,0.375,0.019,0.004,0.676,0.017,0.01
MAHI AT MUJPUR,22.254744,72.982618,0.007,0.004,0.07,0.009,0.001,0.029,1.271,1.951,0.396,0.145,0.014,0.289,0.018,0.006,0.974,0.044,0.01
DHADAR RIVER AT KOTHADA,22.023279,70.368724,0.008,0.004,0.051,0.007,0.002,0.022,0.789,4.646,0.109,0.138,0.035,0.24,0.013,0.001,0.665,0.027,0.01
SABARMATI RIVER AT HANSAOL BRIDGE,23.090926,72.629239,0.013,0.003,0.02,0.018,0.001,0.02,0.759,1.391,0.499,0.115,0.022,0.28,0.011,0.005,0.77,0.011,0.01
GROUND WATER AT BHAVNAGAR,21.764472,72.151931,0.019,0.003,0.056,0.005,0.002,0.02,1.402,3.32,0.234,0.106,0.063,0.213,0.006,0.003,0.893,0.035,0.01
GROUND WATER AT AMRELI,21.62,71.230006,0.007,0.002,0.029,0.009,0.001,0.015,1.178,4.491,0.3,0.067,0.048,0.235,0.013,0.005,0.534,0.024,0.01
GROUND WATER AT JUNAGADH,21.522041,70.45785,0.009,0.002,0.041,0.01,0.002,0.022,0.699,1.471,0.335,0.062,0.038,0.268,0.011,0.002,0.808,0.065,0.01
GROUND WATER AT RAJKOT,22.303892,70.802158,0.005,0.004,0.069,0.018,0.001,0.022,1.216,2.466,0.114,0.168,0.029,0.231,0.014,0.003,0.551,0.057,0.01
GROUND WATER AT SURENDRANAGAR,22.720141,71.649491,0.011,0.004,0.041,0.01,0.002,0.023,0.7,4.188,0.493,0.175,0.054,0.3,0.012,0.003,0.638,0.059,0.01
GROUND WATER AT JAMNAGAR,22.470703,70.057739,0.012,0.002,0.012,0.007,0.002,0.029,0.791,1.957,0.336,0.198,0.023,0.325,0.019,0.006,0.947,0.016,0.01
GROUND WATER AT BHUJ,23.242,69.666933,0.018,0.004,0.069,0.011,0.002,0.022,0.598,4.541,0.285,0.1,0.039,0.25,0.018,0.005,0.692,0.043,0.01
GROUND WATER AT PALANPUR,24.17405,72.4331,0.015,0.004,0.043,0.008,0.001,0.028,0.809,4.201,0.196,0.193,0.053,0.328,0.015,0.006,0.513,0.048,0.01
GROUND WATER AT MEHASANA,23.587992,72.369308,0.011,0.004,0.045,0.019,0.001,0.022,0.744,2.259,0.423,0.071,0.05,0.297,0.015,0.006,0.529,0.026,0.01
GROUND WATER AT SIDDHPUR (DIST.PATAN),23.919619,72.366836,0.016,0.005,0.015,0.011,0.002,0.024,1.326,1.949,0.177,0.104,0.026,0.315,0.019,0.004,0.817,0.063,0.01
GROUND WATER AT HIMATNAGAR,23.612325,72.960308,0.007,0.005,0.034,0.018,0.001,0.023,1.027,2.154,0.105,0.136,0.025,0.341,0.019,0.006,0.559,0.034,0.01
GROUND WATER AT NADIAD,22.70001,72.870001,0.01,0.005,0.072,0.017,0.001,0.024,0.709,4.51,0.392,0.067,0.036,0.184,0.018,0.005,0.682,0.068,0.01
GROUND WATER AT DAHOD,22.837931,74.253147,0.018,0.003,0.041,0.013,0.002,0.022,1.886,2.657,0.124,0.13,0.038,0.101,0.008,0.007,0.735,0.045,0.01
VADODARA (INDUSTRIAL-NANDESARI),22.307158,73.181219,0.009,0.003,0.012,0.005,0.001,0.023,1.937,2.364,0.339,0.146,0.046,0.225,0.006,0.006,0.784,0.017,0.01
ANKLESHWAR (INDUSTRIAL AREA),21.626425,73.015197,0.016,0.003,0.02,0.015,0.001,0.015,1.837,2.035,0.327,0.074,0.017,0.169,0.015,0.005,0.534,0.03,0.01
PANDESARA (INDSTRIAL) SURAT,21.140667,72.842727,0.005,0.004,0.039,0.019,0.001,0.018,0.969,2.015,0.367,0.093,0.024,0.372,0.018,0.005,0.946,0.025,0.01
MORA-HAJIRA (INDUSTRIAL) HAJIRA,21.169974,72.673905,0.006,0.003,0.071,0.015,0.001,0.023,1.363,3.664,0.196,0.056,0.016,0.28,0.018,0.005,0.968,0.05,0.01
GABHENI VILLAGE SURAT (INDUSTRIAL),21.086356,72.827622,0.017,0.004,0.028,0.013,0.001,0.015,0.674,4.105,0.281,0.108,0.067,0.188,0.01,0.001,0.952,0.044,0.01
ATUL VILLAGE G.W (VALSAD),20.537319,72.941042,0.017,0.004,0.056,0.01,0.001,0.022,1.796,1.791,0.449,0.079,0.041,0.244,0.018,0.006,0.664,0.068,0.01
VAPI INDUSTRIAL AREA IN D/S VAPI,20.365136,72.922025,0.02,0.003,0.022,0.018,0.001,0.011,1.226,3.841,0.436,0.145,0.039,0.305,0.014,0.005,0.592,0.013,0.01
SARIGAM VILLAGE (D/S OF INDUSTRIALAREA) VAPI,20.284507,72.854843,0.016,0.004,0.076,0.013,0.002,0.025,1.615,2.408,0.127,0.182,0.034,0.292,0.013,0.006,0.813,0.062,0.01
BOREWELL D/S TSDF SITE GIDC INDUSTRIAL AREA VAPI,20.366667,72.900001,0.015,0.002,0.03,0.013,0.001,0.017,1.799,3.473,0.2,0.177,0.032,0.341,0.006,0.003,0.604,0.034,0.01
THOL TANK (KALOL) (DIST. MEHASANA),23.139908,72.393158,0.013,0.004,0.034,0.016,0.001,0.027,0.791,4.606,0.203,0.153,0.031,0.171,0.017,0.006,0.675,0.015,0.01
NALSAROVAR LAKE (SANAND) DIST.AHMEDABAD,22.799681,72.039422,0.017,0.002,0.045,0.012,0.002,0.013,1.226,4.892,0.324,0.155,0.026,0.176,0.019,0.001,0.743,0.044,0.01
BINDUSAROVAR SIDDHPUR (DIST.PATAN),23.908353,72.364462,0.016,0.001,0.016,0.018,0.001,0.027,1.237,3.735,0.159,0.06,0.039,0.39,0.007,0.006,0.662,0.026,0.01
SAHASTRLING SAROVAR ? PATAN,23.862505,72.098387,0.015,0.004,0.037,0.012,0.001,0.018,1.394,4.661,0.194,0.178,0.017,0.338,0.013,0.006,0.995,0.026,0.01
LAKHOTA TALAV JAMNAGAR,22.465119,70.068231,0.005,0.003,0.064,0.013,0.002,0.018,1.219,2.237,0.326,0.101,0.051,0.377,0.016,0.005,0.668,0.035,0.01
NARSIMEHTA TALAV- JUNAGADH,21.518858,70.454794,0.01,0.003,0.06,0.014,0.001,0.014,1.597,1.239,0.408,0.103,0.031,0.283,0.017,0.006,0.594,0.058,0.01
CITY LAKE OF NADIAD,22.600453,72.763836,0.013,0.003,0.07,0.018,0.001,0.029,0.943,4.809,0.24,0.17,0.028,0.279,0.007,0.004,0.654,0.07,0.01
OLPAD VILLAGE POND:OLPAD SURAT,21.337574,72.753809,0.007,0.002,0.045,0.005,0.001,0.018,1.956,2.121,0.284,0.11,0.034,0.353,0.02,0.006,0.614,0.047,0.01
AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUCH,21.631161,72.956485,0.008,0.001,0.063,0.018,0.002,0.019,1.126,2.649,0.244,0.172,0.063,0.31,0.014,0.005,0.775,0.025,0.01
NARMADA AT ZANOR (NTPC) BHARUCH,21.714997,73.042891,0.009,0.003,0.03,0.013,0.002,0.01,1.731,3.352,0.38,0.176,0.055,0.241,0.009,0.006,0.561,0.016,0.01
TAPI AT RANDER BRIDGE SURAT,21.194545,72.811552,0.015,0.003,0.018,0.014,0.002,0.027,0.925,3.122,0.219,0.195,0.029,0.175,0.016,0.002,0.737,0.019,0.01
TAPI RIVER NEAR BARDOLI (KAPP BRIDGE) BARDOLI,21.221618,73.170007,0.006,0.002,0.016,0.014,0.001,0.013,1.54,2.641,0.397,0.166,0.07,0.372,0.012,0.003,0.603,0.016,0.01
SABARMATI AT AHMEDABAD AT V.N. BRIDGE,22.982611,72.543139,0.014,0.004,0.014,0.017,0.001,0.012,1.502,3.149,0.263,0.059,0.01,0.351,0.007,0.002,0.517,0.016,0.01
AHMEDABAD-1 BENRAMPURA,23.00557,72.583329,0.006,0.001,0.024,0.015,0.001,0.026,1.008,2.027,0.155,0.167,0.024,0.179,0.018,0.001,0.767,0.04,0.01
AHMEDABAD-2 NAROL SARKHEJ HIGHWAY,22.990861,72.533077,0.007,0.002,0.043,0.014,0.001,0.021,0.634,1.347,0.404,0.076,0.028,0.364,0.012,0.005,0.644,0.052,0.01
KIM RIVER AT SAHOL BRIDGE OLPAD HANSOT ROAD DIST. SURAT,21.461094,72.726327,0.008,0.003,0.024,0.011,0.001,0.015,1.058,1.615,0.262,0.146,0.064,0.386,0.006,0.002,0.89,0.043,0.01
TAPI RIVER AT ONGC BRIDGE AT SURAT DIST. SURAT,21.148919,72.743684,0.019,0.001,0.039,0.007,0.001,0.011,1.846,1.988,0.242,0.171,0.06,0.132,0.011,0.003,0.692,0.067,0.01
BHOGAVO RIVER D/S OF SURENDRANAGAR.,22.715528,71.672688,0.007,0.002,0.06,0.005,0.001,0.023,0.783,3.482,0.491,0.059,0.031,0.336,0.015,0.006,0.921,0.03,0.01
NARMADA MAIN CANAL NR. VILLAGE. LIMBADIA DIST. GANDHINAGAR.,23.134936,72.611525,0.009,0.002,0.077,0.008,0.001,0.022,0.855,2.664,0.203,0.142,0.033,0.26,0.01,0.004,0.581,0.036,0.01
TAPI CANAL AT VILLAGE UMARWADA NEAR GIDC ESTATE OF PANOLI.,21.589419,72.975333,0.013,0.001,0.024,0.016,0.001,0.03,1.712,2.204,0.382,0.082,0.021,0.252,0.02,0.002,0.762,0.012,0.01
DHAROI DAM DIST. MEHSANA.,24.004247,72.854736,0.016,0.005,0.042,0.019,0.001,0.015,0.743,4.883,0.395,0.156,0.065,0.351,0.016,0.004,0.961,0.053,0.01
ANKLESHWAR RESERVOIR AT GIDC ANKLESHWAR AT VALIA ROAD.,21.609869,73.007261,0.015,0.003,0.045,0.012,0.001,0.018,1.924,2.8,0.34,0.117,0.019,0.249,0.01,0.007,0.943,0.065,0.01
MOTICHER LAKE NEAR KAKARPAR ATOMIC POWER STATION DIST. SURAT.,21.244819,73.355505,0.005,0.002,0.035,0.012,0.001,0.026,1.087,2.634,0.16,0.182,0.07,0.297,0.006,0.005,0.815,0.052,0.01
KUWADAVA LAKE VILL. KUWADAVA DIST. RAJKOT.,22.357715,70.939848,0.012,0.003,0.06,0.006,0.001,0.017,0.98,2.384,0.378,0.064,0.023,0.282,0.009,0.002,0.807,0.014,0.01
MASMA KHADI- OLPAD- SARAS ROAD,21.296333,72.760033,0.016,0.003,0.075,0.006,0.001,0.018,1.339,4.08,0.257,0.161,0.024,0.249,0.009,0.002,0.892,0.016,0.01
AMLAKHADI CREEK AT PUNGAM.,21.615413,72.941847,0.01,0.005,0.032,0.009,0.002,0.021,1.089,2.215,0.436,0.098,0.054,0.178,0.02,0.002,0.689,0.013,0.01
TRIVENI SANGAM NR. SOMNATH TEMPLE VERAVAL DIST. JUNAGADH.,20.882324,70.414066,0.008,0.004,0.073,0.006,0.001,0.028,1.585,1.143,0.45,0.157,0.039,0.349,0.018,0.003,0.705,0.031,0.01
BORE WELL OF CHHATRAL GIDC.,21.093078,72.857456,0.009,0.005,0.039,0.006,0.001,0.013,1.163,1.882,0.494,0.152,0.031,0.105,0.005,0.006,0.681,0.016,0.01
BORE WELL OF PALSANA VILLAGE.,21.082075,72.985392,0.011,0.002,0.054,0.015,0.001,0.013,1.721,1.056,0.492,0.104,0.021,0.252,0.018,0.005,0.69,0.066,0.01
BORE WELL OF SANTEJ VILLAGE.,23.101706,72.474661,0.008,0.002,0.036,0.017,0.001,0.026,0.788,2.612,0.408,0.163,0.045,0.361,0.012,0.004,0.872,0.064,0.01
BORE WELL AT MSW DISPOSAL SITE OF SURAT MUNICIPAL CORPORATION AT VILL. KHAJOD DIST. SURAT.,21.116142,72.788028,0.007,0.003,0.016,0.012,0.001,0.013,0.563,2.937,0.412,0.181,0.058,0.29,0.014,0.002,0.903,0.053,0.01
B/W- HAZARDOUS W. DISPOSAL SITE (GUJ. ENVIRO P.&amp; I. LTD. ),21.105792,72.805043,0.006,0.004,0.023,0.012,0.001,0.027,0.957,4.025,0.382,0.178,0.048,0.303,0.008,0.003,0.686,0.038,0.01
BORE WELL OF SACHIN GIDC.,21.093078,72.857456,0.013,0.001,0.073,0.015,0.001,0.023,0.643,2.061,0.174,0.074,0.043,0.119,0.019,0.006,0.959,0.065,0.01
B/W NEAR INDL. AREA BORASARA &amp; NAVAPURA DIST. SURAT.,21.196517,72.830936,0.012,0.003,0.054,0.008,0.001,0.018,1.768,1.645,0.221,0.197,0.062,0.25,0.007,0.001,0.543,0.021,0.01
WELL AT OLPAD.,21.340136,72.755392,0.006,0.003,0.034,0.02,0.001,0.019,1.426,3.564,0.498,0.119,0.066,0.354,0.007,0.005,0.673,0.038,0.01
BORE WELL OF NAVSARI GIDC INDUSTRIES ASSOCIATION OFFICE.,20.94645,72.949736,0.013,0.002,0.039,0.008,0.001,0.018,1.476,1.284,0.106,0.083,0.066,0.336,0.007,0.001,0.504,0.022,0.01
WATER WORKS OF NAVSARI NEAR DHUDIA TALAV.,20.947567,72.930205,0.005,0.002,0.073,0.016,0.001,0.016,0.615,3.594,0.473,0.184,0.012,0.381,0.007,0.004,0.731,0.047,0.01
